,not_blank_or_descriptive_lines
4580,"Runners on their mark and they pop their guns
"
4581,"Stand up, stand up, here he comes
"
4582,"Tell me what it takes to be number one
"
4583,"Tell me what it takes to be number one
"
4584,"This is the story of a champion
"
4585,"Runners on their mark and they pop their guns
"
4586,"Stand up, stand up, here he comes
"
4587,"Tell me what it takes to be number one
"
4588,"Tell me what it takes to be number one
"
4589,"Did you realize
"
4590,"That you were a champion in their eyes?
"
4591,"Yes I did
"
4592,"So I packed it up and brought it back to the crib
"
4593,"Just a little somethin', show you how we live
"
4594,"Everybody want it, but it ain't that serious
"
4595,"Mhm, that's that shit
"
4596,"So if you gon' do it, do it just like this... like this
"
4597,"Did you realize
"
4598,"That you were a champion in their eyes?
"
4599,"Work it, make it, do it, makes us
"
4600,"Harder, better, faster, stronger
"
4601,"N-now th-that that don't kill me
"
4602,"Can only make me stronger
"
4603,"I need you to hurry up now
"
4604,"‘Cause I can't wait much longer
"
4605,"I know I got to be right now
"
4606,"‘Cause I can't get much wronger
"
4607,"Man, I've been waiting all night now
"
4608,"That's how long I been on ya
"
4609,"(Work it harder, make it better
"
4610,"Do it faster, makes us stronger)
"
4611,"(I need you right now!)
"
4612,"(I need you right now!)
"
4613,"Let's get lost tonight
"
4614,"You could be my black Kate Moss tonight
"
4615,"Play secretary, I'm the boss tonight
"
4616,"And you don't give a fuck what they all say, right?
"
4617,"Awesome, the Christian in Christian Dior
"
4618,"Damn, they don't make 'em like this anymore
"
4619,"I ask, ‘cause I'm not sure
"
4620,"Do anybody make real shit anymore?
"
4621,"Bow in the presence of greatness
"
4622,"‘Cause right now thou hast forsaken us
"
4623,"You should be honored by my lateness
"
4624,"That I would even show up to this fake shit
"
4625,"So go ahead, go nuts, go apeshit
"
4626,"'Specially in my Pastellé, on my Bape shit
"
4627,"Act like you can't tell who made this
"
4628,"New Gospel, homie, take six
"
4629,"And take this, haters!
"
4630,"N-now th-that that don't kill me
"
4631,"Can only make me stronger
"
4632,"I need you to hurry up now
"
4633,"‘Cause I can't wait much longer
"
4634,"I know I got to be right now
"
4635,"‘Cause I can't get much wronger
"
4636,"Man, I've been waiting all night now
"
4637,"That's how long I been on ya
"
4638,"(Work it harder, make it better
"
4639,"Do it faster, makes us stronger)
"
4640,"(I need you right now!)
"
4641,"(I need you right now!) me likey
"
4642,"I don't know if you got a man or not
"
4643,"If you made plans or not
"
4644,"If God put me in your plans or not
"
4645,"I'm trippin', this drink got me sayin' a lot
"
4646,"But I know that God put you in front of me
"
4647,"So how the hell could you front on me?
"
4648,"There's a thousand you's, there's only one of me
"
4649,"I'm trippin', I'm caught up in the moment, right?
"
4650,"‘Cause it's Louis Vuitton Don night
"
4651,"So we gon' do everything that Kan like
"
4652,"Heard they'd do anything for a Klondike
"
4653,"Well, I'd do anything for a blonde dyke
"
4654,"And she'll do anything for the limelight
"
4655,"And we'll do anything when the time's right
"
4656,"Uh, baby, you're makin' it
"
4657,"(Harder, better, faster, stronger)
"
4658,"N-now th-that that don't kill me
"
4659,"Can only make me stronger
"
4660,"I need you to hurry up now
"
4661,"‘Cause I can't wait much longer
"
4662,"I know I got to be right now
"
4663,"‘Cause I can't get much wronger
"
4664,"Man, I've been waiting all night now
"
4665,"That's how long I been on ya
"
4666,"(Work it harder, make it better
"
4667,"Do it faster, makes us stronger)
"
4668,"(I need you right now!)
"
4669,"(I need you right now!)
"
4670,"You know how long I've been on ya
"
4671,"Since Prince was on Apollonia
"
4672,"Since O.J. had Isotoners
"
4673,"Don't act like I never told ya
"
4674,"Don't act like I never told ya
"
4675,"Don't act like I never told ya
"
4676,"Don't act like I never told ya
"
4677,"Don't act like I never told ya
"
4678,"Baby, you're makin' it
"
4679,"(Harder, better, faster, stronger)
"
4680,"N-now th-that that don't kill me
"
4681,"Can only make me stronger
"
4682,"I need you to hurry up now
"
4683,"‘Cause I can't wait much longer
"
4684,"I know I got to be right now
"
4685,"‘Cause I can't get much wronger
"
4686,"Man, I've been waiting all night now
"
4687,"That's how long I been on ya
"
4688,"(Work it harder, make it better
"
4689,"Do it faster, makes us stronger)
"
4690,"(I need you right now!)
"
4691,"(I need you right now!)
"
4692,"Right now!
"
4693,"Work it harder, make it better
"
4694,"Do it faster, makes us stronger
"
4695,"(I need you right now!)
"
4696,"(I need you right now!)
"
4697,"You know how long I've been on ya
"
4698,"Since Prince was on Apollonia
"
4699,"Since O.J. had Isotoners
"
4700,"Don't act like I never told ya
"
4701,"You know how long I've been on ya
"
4702,"Since Prince was on Apollonia
"
4703,"Since O.J. had Isotoners
"
4704,"Don't act like I never told ya told ya told ya
"
4705,"Never told ya…told ya told ya told ya
"
4706,"Never told ya…told ya told ya told ya
"
4707,"Never told ya…told ya told ya told ya
"
4708,"Never told ya…told ya told ya told ya
"
4709,"Never over…Never over… Never over… Never over…
"
4710,"Never over…Never over… Never over… Never over…
"
4711,"(Harder, better, faster, stronger)
"
4712,"Work it harder, make it better
"
4713,"Do it faster, makes us stronger
"
4714,"More than ever, hour after—
"
4715,"Our work is never over
"
4716,"Work it harder, make it better
"
4717,"Do it faster, makes us stronger
"
4718,"More than ever, hour after—
"
4719,"Our work is never over
"
4720,"Work it harder, make it better
"
4721,"Do it faster, makes us stronger
"
4722,"More than ever, hour after—
"
4723,"Our work is never over
"
4724,"Work it harder, make it better
"
4725,"Do it faster, makes us stronger
"
4726,"More than ever, hour after—
"
4727,"Our work is never over
"
4728,"Find your dreams come true
"
4729,"And I wonder if you know
"
4730,"What it means, what it means
"
4731,"And I wonder if you know
"
4732,"What it means, what it means
"
4733,"And I wonder if you know
"
4734,"What it means to find your dreams
"
4735,"And I wonder
"
4736,"I've been waiting on this my whole life
"
4737,"(And I wonder)
"
4738,"These dreams be waking me up at night
"
4739,"(And I wonder)
"
4740,"You say I think I'm never wrong
"
4741,"(And I wonder)
"
4742,"You know what? Maybe you're right
"
4743,"A'ight?
"
4744,"And I wonder if you know
"
4745,"What it means, what it means
"
4746,"And I wonder if you know
"
4747,"What it means to find your dreams
"
4748,"And I wonder
"
4749,"You say he get on your fucking nerves
"
4750,"(And I wonder)
"
4751,"You hope that he get what he deserves, word
"
4752,"(And I wonder)
"
4753,"Do you even remember what the issue is?
"
4754,"You just trying to find where the tissue is
"
4755,"You can still be who you wish you is
"
4756,"It ain't happen yet
"
4757,"And that's what intuition is
"
4758,"(And I wonder)
"
4759,"When you hop back in the car
"
4760,"Drive back to the crib
"
4761,"Run back to their arms
"
4762,"The smokescreens
"
4763,"The chokes and the screams
"
4764,"You ever wonder what it all really means?
"
4765,"And I wonder if you know
"
4766,"What it means, what it means
"
4767,"And I wonder if you know
"
4768,"What it means to find your dreams
"
4769,"And I wonder
"
4770,"And I'm back on my grind
"
4771,"A psychic read my lifeline
"
4772,"Told me in my lifetime
"
4773,"My name would help light up the Chicago skyline
"
4774,"And that's why I'm
"
4775,"(And I wonder)
"
4776,"Seven o'clock, that's primetime
"
4777,"Heaven'll watch, God calling from the hotlines
"
4778,"Why he keep giving me hot lines?
"
4779,"I'm a star, how could I not shine?
"
4780,"(And I wonder)
"
4781,"How many ladies in the house?
"
4782,"(If you know)
"
4783,"How many ladies in the house without a spouse?
"
4784,"(What it means)
"
4785,"Something in your blouse got me feeling so aroused
"
4786,"(What it means)
"
4787,"What you about?
"
4788,"(And I wonder)
"
4789,"On that independent shit
"
4790,"(If you know)
"
4791,"Trade it all for a husband and some kids
"
4792,"(What it means)
"
4793,"You ever wonder what it all really mean?
"
4794,"(To find your dreams come true)
"
4795,"You wonder if you'll ever find your dreams?
"
4796,"Like we always do at this time
"
4797,"I go for mine, I gots to shine
"
4798,"(Now throw yo hands up in the sky)
"
4799,"I, go, go for mine, I gots to shine
"
4800,"(Now throw yo hands up in the sky)
"
4801,"I'ma get on this TV momma, I'ma
"
4802,"I'ma put shit down
"
4803,"(Ayy) ayy (Ayy), ayy
"
4804,"(Ayy) ayy (Ayy), I'm good
"
4805,"Welcome to the good life, where niggas who sell D
"
4806,"Won't even get pulled over in they new V
"
4807,"The good life, let's go on a living spree
"
4808,"Shit, they say the best things in life are free
"
4809,"The good life, it feel like Atlanta
"
4810,"It feel like L.A., it feel like Miami
"
4811,"It feel like NY, summertime Chi
"
4812,"Ah! (Now throw yo hands up in the sky)
"
4813,"So I roll through good
"
4814,"Y'all pop the trunk, I pop the hood, Ferrari
"
4815,"And she got the goods
"
4816,"And she got that ass, I got to look, sorry!
"
4817,"Yo, it's got to be 'cause I'm seasoned
"
4818,"Haters give me them salty looks, Lawry's
"
4819,"50 told me, ""Go 'head, switch the style up
"
4820,"And if they hate then let 'em hate and watch the money pile up""
"
4821,"The good life
"
4822,"Now I, I go for mine, I got to shine
"
4823,"(Now throw yo hands up in the sky)
"
4824,"Now I, I go for mine, I got to shine
"
4825,"(Now throw yo hands up in the sky)
"
4826,"(I'ma get on this TV momma, I'ma)
"
4827,"(I'ma put shit down)
"
4828,"Ayy (Ayy), ayy (Ayy)
"
4829,"Ayy (Ayy), ayy (I'm good)
"
4830,"Welcome to the good life!
"
4831,"Where we like the girls who ain't on TV
"
4832,"'Cause they got mo' (Ass than the models)
"
4833,"The good life, so keep it comin' with the bottles
"
4834,"'Cause she feel booze like she bombed at Apollo
"
4835,"The good life, it feel like Houston
"
4836,"It feel like Philly, it feel like D.C
"
4837,"It feel like VA or the Bay or Yay
"
4838,"Ayy, this is the good life (Welcome to the good life)
"
4839,"Homey tell me what's good
"
4840,"Why I only got a problem when you in the hood (Welcome to the good life)
"
4841,"Like I'm new in the hood
"
4842,"The only thing I wish, I wish a nigga would (Welcome to the good life!)
"
4843,"He probably think he could
"
4844,"But, but, I don't think he should (Welcome to the good life)
"
4845,"50 told me, ""Go 'head, switch the style up
"
4846,"And if they hate then let 'em hate and watch the money pile up""
"
4847,"The good life
"
4848,"Now I, I go for mine, I gots to shine
"
4849,"(Now throw yo hands up in the sky)
"
4850,"Now I, I go for mine, I gots to shine
"
4851,"(Now throw yo hands up in the sky)
"
4852,"I'ma get on the TV momma, I'ma
"
4853,"I'ma put shit down
"
4854,"(Ayy) ayy (Ayy), ayy
"
4855,"(Ayy) ayy (Ayy), I'm good
"
4856,"Have you ever popped champagne on a plane, while gettin' some brain
"
4857,"Whipped it out, she said ""I never seen Snakes on a Plane""
"
4858,"Whether you broke or rich you gotta get this
"
4859,"Havin' money's not everything, not havin' it is
"
4860,"I was splurgin' on Tryst, but when I get my card back
"
4861,"Activated, I'm back to Vegas
"
4862,"'Cause (The good life) I always had a passion for flashin'
"
4863,"Befo' I had it, I closed my eyes and imagined the good life
"
4864,"Better than the life I lived
"
4865,"When I thought that I was gonna go crazy
"
4866,"And now my grandmomma
"
4867,"Ain't the only girl callin me ""baby""
"
4868,"If you feelin' me now
"
4869,"Then put yo hands up in the sky, and let me hear you say
"
4870,"Hey, hey, ooh I'm good!
"
4871,"La, la, la la (Yeah)
"
4872,"Wait 'til I get my money right
"
4873,"I had a dream I could buy my way to heaven
"
4874,"When I awoke, I spent that on a necklace
"
4875,"I told God I'd be back in a second
"
4876,"Man it's so hard not to act reckless
"
4877,"To whom much is given, much is tested
"
4878,"Get arrested guess until he get the message
"
4879,"I feel the pressure, under more scrutiny
"
4880,"And what I do? Act more stupidly
"
4881,"Bought more jewelry, more Louis V
"
4882,"My mama couldn't get through to me
"
4883,"The drama, people suing me
"
4884,"I'm on TV talking like it's just you and me
"
4885,"I'm just saying how I feel man
"
4886,"I ain't one of the Cosby's, I ain't go to Hillman
"
4887,"I guess the money should've changed him
"
4888,"I guess I should've forgot where I came from
"
4889,"La, la, la la
"
4890,"Wait 'til I get my money right
"
4891,"La, la, la la
"
4892,"Then you can't tell me nothing, right?
"
4893,"Excuse me, was you saying something?
"
4894,"Uh uh, you can't tell me nothing
"
4895,"You can't tell me nothing
"
4896,"Uh uh, you can't tell me nothing
"
4897,"Let up the suicide doors
"
4898,"This is my life homie, you decide yours
"
4899,"I know that Jesus died for us
"
4900,"But I couldn't tell ya who decide wars
"
4901,"So I parallel double parked that motherfucker sideways
"
4902,"Old folks talking 'bout, ""Back in my day""
"
4903,"But homie this is my day
"
4904,"Class started 2 hours ago, oh am I late?
"
4905,"No, I already graduated
"
4906,"And you can live through anything if Magic made it
"
4907,"They say I talk with so much emphasis
"
